CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T
21,132,7227.243,7428.907,14656.15,7382.61,7559.545,14942.155,7471.074,7625.024,15096.098,7460.047,7548.604,15008.651,7223.608,7160.27,14383.878,38111.267,33127.195,71238.462,9734.043,7622.522,17356.565
21,134,998.026,1056.76,2054.786,1019.482,1075.343,2094.825,1031.698,1084.657,2116.355,1030.175,1073.786,2103.961,997.525,1018.546,2016.071,5262.873,4712.332,9975.205,1344.196,1084.301,2428.497
21,136,583.089,613.948,1197.037,595.624,624.745,1220.369,602.761,630.156,1232.917,601.871,623.841,1225.712,582.795,591.747,1174.542,3074.789,2737.738,5812.527,785.336,629.95,1415.286
21,138,537.381,567.048,1104.429,548.933,577.019,1125.952,555.511,582.017,1137.528,554.691,576.184,1130.875,537.11,546.543,1083.653,2833.759,2528.595,5362.354,723.773,581.826,1305.599
21,140,6085.621,6275.472,12361.093,6216.447,6385.827,12602.274,6290.937,6441.14,12732.077,6281.652,6376.585,12658.237,6082.561,6048.545,12131.106,32091.181,27983.767,60074.948,8196.446,6439.026,14635.472
21,143,1509.578,1610.905,3120.483,1542.031,1639.233,3181.264,1560.508,1653.431,3213.939,1558.205,1636.86,3195.065,1508.819,1552.653,3061.472,7960.428,7183.392,15143.82,2033.182,1652.889,3686.071
21,144,686.961,747.303,1434.264,701.729,760.445,1462.174,710.137,767.032,1477.169,709.089,759.344,1468.433,686.615,720.28,1406.895,3622.536,3332.397,6954.933,925.236,766.78,1692.016
21,146,38.846,42.963,81.809,39.681,43.719,83.4,40.156,44.098,84.254,40.097,43.656,83.753,38.826,41.41,80.236,204.844,191.583,396.427,52.32,44.083,96.403
21,147,285.571,293.632,579.203,291.71,298.796,590.506,295.205,301.384,596.589,294.77,298.364,593.134,285.427,283.014,568.441,1505.894,1309.374,2815.268,384.622,301.285,685.907
21,148,361.521,375.951,737.472,369.293,382.562,751.855,373.718,385.875,759.593,373.167,382.008,755.175,361.339,362.356,723.695,1906.402,1676.449,3582.851,486.917,385.748,872.665
