Anio,CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T,Poblacion
2002,29,053,NA,NA,694.761,NA,NA,687.347,NA,NA,668.556,NA,NA,626.792,NA,NA,556.061,NA,NA,2238.238,NA,NA,429.437,5901.192
2002,29,054,NA,NA,510.114,NA,NA,504.671,NA,NA,490.874,NA,NA,460.21,NA,NA,408.276,NA,NA,1643.382,NA,NA,315.306,4332.833
2002,29,055,NA,NA,290.513,NA,NA,287.412,NA,NA,279.555,NA,NA,262.092,NA,NA,232.515,NA,NA,935.913,NA,NA,179.569,2467.569
2002,29,056,NA,NA,715.336,NA,NA,707.701,NA,NA,688.354,NA,NA,645.353,NA,NA,572.527,NA,NA,2304.52,NA,NA,442.155,6075.946
2002,29,057,NA,NA,460.521,NA,NA,455.607,NA,NA,443.151,NA,NA,415.468,NA,NA,368.584,NA,NA,1483.612,NA,NA,284.651,3911.594
2002,29,058,NA,NA,821.182,NA,NA,812.418,NA,NA,790.208,NA,NA,740.844,NA,NA,657.243,NA,NA,2645.512,NA,NA,507.578,6974.985
2002,29,059,NA,NA,670.144,NA,NA,662.992,NA,NA,644.866,NA,NA,604.583,NA,NA,536.357,NA,NA,2158.929,NA,NA,414.221,5692.092
2002,29,060,NA,NA,454.871,NA,NA,450.017,NA,NA,437.714,NA,NA,410.371,NA,NA,364.062,NA,NA,1465.41,NA,NA,281.159,3863.604
2003,21,015,6141.537,6336.416,12477.953,6038.196,6211.066,12249.262,5902.834,5977.697,11880.531,5528.847,5364.025,10892.872,4951.008,4429.412,9380.42,20564.137,18176.108,38740.245,4432.069,3605.515,8037.584,103658.867
2003,21,026,729.157,752.295,1481.452,716.889,737.413,1454.302,700.818,709.706,1410.524,656.416,636.847,1293.263,587.811,525.885,1113.696,2441.489,2157.969,4599.458,526.2,428.067,954.267,12306.962
2003,21,034,1988.755,2051.861,4040.616,1955.291,2011.27,3966.561,1911.458,1935.7,3847.158,1790.353,1736.981,3527.334,1603.237,1434.334,3037.571,6659.087,5885.794,12544.881,1435.194,1167.539,2602.733,33566.854
2003,21,041,5047.565,5207.73,10255.295,4962.632,5104.709,10067.341,4851.382,4912.909,9764.291,4544.011,4408.548,8952.559,4069.101,3640.415,7709.516,16901.114,14938.455,31839.569,3642.599,2963.276,6605.875,85194.446
2003,21,048,1046.738,1079.953,2126.691,1029.125,1058.588,2087.713,1006.055,1018.814,2024.869,942.314,914.222,1856.536,843.829,754.931,1598.76,3504.867,3097.86,6602.727,755.384,614.509,1369.893,17667.189
2003,21,060,413.756,426.885,840.641,406.794,418.441,825.235,397.675,402.719,800.394,372.48,361.375,733.855,333.55,298.41,631.96,1385.41,1224.529,2609.939,298.589,242.904,541.493,6983.517
2003,21,074,3485.886,3596.497,7082.383,3427.23,3525.35,6952.58,3350.4,3392.891,6743.291,3138.127,3044.576,6182.703,2810.151,2514.098,5324.249,11672.033,10316.608,21988.641,2515.605,2046.46,4562.065,58835.912
2003,21,090,1104.865,1139.924,2244.789,1086.274,1117.374,2203.648,1061.923,1075.39,2137.313,994.642,964.991,1959.633,890.689,796.853,1687.542,3699.497,3269.891,6969.388,797.331,648.634,1445.965,18648.278
